name,slug,category,visibility,price_range,url
5-Amino-1MQ,5-amino-1mq,metabolic-research,public,$50.00,https://basedresearch.com/product/5-amino-1mq
Adamax Spray,adamax-spray,nootropic-research,hidden,$110.00,https://basedresearch.com/product/adamax-spray
Alcohol Prep Pads,alcohol-swabs,accessories,hidden,$9.00,https://basedresearch.com/product/alcohol-swabs
AOD-9604,aod-9604,metabolic-research,public,$45.00,https://basedresearch.com/product/aod-9604
ARA-290,ara-290,inflammation-research,public,$70.00,https://basedresearch.com/product/ara-290
Bacteriostatic Water,bacteriostatic-water,accessories,public,$20.00,https://basedresearch.com/product/bacteriostatic-water
BPC-157,bpc-157,tissue-repair-research,public,$45.00 - $90.00,https://basedresearch.com/product/bpc-157
BPC-157 + TB-500 Blend,bpc-157-tb-500-blend,tissue-repair-research,public,$80.00 - $130.00,https://basedresearch.com/product/bpc-157-tb-500-blend
BPC-157 Tablets,bpc-157-tablets,tissue-repair-research,hidden,$175.00,https://basedresearch.com/product/bpc-157-tablets
Cagrilintide,cagrilintide,metabolic-research,public,$130.00,https://basedresearch.com/product/cagrilintide
CJC-1295 (no DAC),cjc-1295-no-dac,growth-hormone-research,public,$45.00 - $70.00,https://basedresearch.com/product/cjc-1295-no-dac
CJC-1295 (with DAC),cjc-1295-with-dac,growth-hormone-research,public,$100.00 - $160.00,https://basedresearch.com/product/cjc-1295-with-dac
CJC-1295 + Ipamorelin Blend,cjc-1295-ipamorelin-blend,growth-hormone-research,public,$75.00,https://basedresearch.com/product/cjc-1295-ipamorelin-blend
DSIP,dsip,circadian-research,public,$45.00,https://basedresearch.com/product/dsip
Epithalon,epithalon,longevity-research,public,$50.00 - $170.00,https://basedresearch.com/product/epithalon
Follistatin 344,follistatin-344,growth-hormone-research,public,$240.00,https://basedresearch.com/product/follistatin-344
FOXO4-DRI,foxo4-dri,longevity-research,hidden,$300.00,https://basedresearch.com/product/foxo4-dri
GHK-Cu,ghk-cu,longevity-research,public,$60.00 - $100.00,https://basedresearch.com/product/ghk-cu
GHRP-2,ghrp-2,growth-hormone-research,public,$35.00 - $60.00,https://basedresearch.com/product/ghrp-2
GHRP-6,ghrp-6,growth-hormone-research,public,$55.00 - $60.00,https://basedresearch.com/product/ghrp-6
GIP3,glp3-rta,metabolic-research,public,$100.00 - $220.00,https://basedresearch.com/product/glp3-rta
Glow Blend,glow-blend,longevity-research,public,$200.00,https://basedresearch.com/product/glow-blend
Glutathione,glutathione,longevity-research,public,$65.00,https://basedresearch.com/product/glutathione
Hexarelin,hexarelin,growth-hormone-research,public,$75.00,https://basedresearch.com/product/hexarelin
Ipamorelin,ipamorelin,growth-hormone-research,public,$45.00 - $70.00,https://basedresearch.com/product/ipamorelin
Kisspeptin-10,kisspeptin-10,neuroendocrine-research,public,$60.00,https://basedresearch.com/product/kisspeptin-10
Klow Blend,klow-blend,longevity-research,public,$200.00,https://basedresearch.com/product/klow-blend
KPV,kpv,inflammation-research,public,$90.00,https://basedresearch.com/product/kpv
Larazotide,larazotide,inflammation-research,hidden,$110.00,https://basedresearch.com/product/larazotide
LL-37,ll37,inflammation-research,public,$75.00,https://basedresearch.com/product/ll37
Melanotan 1,melanotan-1,neuroendocrine-research,public,$50.00,https://basedresearch.com/product/melanotan-1
Melanotan 2,melanotan-2,neuroendocrine-research,public,$75.00,https://basedresearch.com/product/melanotan-2
MOTS-c,mots-c,metabolic-research,public,$90.00 - $275.00,https://basedresearch.com/product/mots-c
NAD+,nad-plus,longevity-research,public,$140.00,https://basedresearch.com/product/nad-plus
Oxytocin,oxytocin,neuroendocrine-research,public,$50.00,https://basedresearch.com/product/oxytocin
P21 Peptide Spray,p21-peptide-spray,nootropic-research,hidden,$180.00,https://basedresearch.com/product/p21-peptide-spray
PEG-MGF,peg-mgf,growth-hormone-research,public,$100.00,https://basedresearch.com/product/peg-mgf
Pentadecarginine,pentadecarginine,tissue-repair-research,hidden,$55.00,https://basedresearch.com/product/pentadecarginine
Pinealon,pinealon,nootropic-research,public,$60.00,https://basedresearch.com/product/pinealon
Portable Peptide Storage Fridge,portable-peptide-storage-fridge,accessories,public,$120.00,https://basedresearch.com/product/portable-peptide-storage-fridge
PT-141,pt-141,neuroendocrine-research,public,$55.00,https://basedresearch.com/product/pt-141
PTD-DBM,ptd-dbm,longevity-research,hidden,$180.00,https://basedresearch.com/product/ptd-dbm
Recovery Tri-Blend,recovery-tri-blend,tissue-repair-research,hidden,$120.00,https://basedresearch.com/product/recovery-tri-blend
Research Syringe Kit,syringe-kit,accessories,hidden,$12.00,https://basedresearch.com/product/syringe-kit
Selank,selank,nootropic-research,public,$70.00,https://basedresearch.com/product/selank
Semax,semax,nootropic-research,public,$40.00,https://basedresearch.com/product/semax
Sermorelin,sermorelin,growth-hormone-research,public,$45.00 - $80.00,https://basedresearch.com/product/sermorelin
Snap-8,snap-8,longevity-research,public,$60.00,https://basedresearch.com/product/snap-8
SS-31 (Elamipretide),ss-31-elamipretide,longevity-research,public,$160.00 - $380.00,https://basedresearch.com/product/ss-31-elamipretide
TB-500,tb-500,tissue-repair-research,public,$60.00 - $110.00,https://basedresearch.com/product/tb-500
Tesamorelin,tesamorelin,growth-hormone-research,public,$80.00 - $130.00,https://basedresearch.com/product/tesamorelin
Tesamorelin + Ipamorelin Blend,tesamorelin-ipamorelin-blend,growth-hormone-research,public,$100.00 - $140.00,https://basedresearch.com/product/tesamorelin-ipamorelin-blend
Thymalin,thymalin,immune-modulation-research,public,$70.00,https://basedresearch.com/product/thymalin
Thymosin Alpha-1,thymosin-alpha-1,immune-modulation-research,public,$70.00 - $120.00,https://basedresearch.com/product/thymosin-alpha-1
VIP (Vasoactive Intestinal Peptide),vip,inflammation-research,public,$100.00,https://basedresearch.com/product/vip
